holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund,issuerConditionalDesc,otherDesc,otherValue
464287184-TRS-12/01/27-L-CANT,N/A,N/A,ISHARES CHINA LARGE-CAP ETF-SWAP-CANT-L,N/A,,464287184-TRS-12/01/27-L-CANT,1,NC,USD,-199252.10,-15.37,Long,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,464287184-TRS-12/01/27-L-CANT
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,123565.02000000,NS,USD,123565.02,9.53,Long,STIV,RF,US,N,1,N,N,N,,,
