holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund,otherDesc,otherValue
SPY-C143.73-20270430,SPY 04/30/2027 143.73 C,N/A,SPY 04/30/2027 143.73 C,N/A,,SPY-C143.73-20270430,65.0,NC,USD,3862210.43,81.66,Long,DE,CORP,US,N,2,N,N,N,USER DEFINED,SPY-C143.73-20270430
SPY-C815.68-20270430,SPY 04/30/2027 815.68 C,N/A,SPY 04/30/2027 815.68 C,N/A,,SPY-C815.68-20270430,65.0,NC,USD,-129402.06,-2.74,Short,DE,CORP,US,N,2,N,N,N,USER DEFINED,SPY-C815.68-20270430
SPY-P646.79-20270430,SPY 04/30/2027 646.79 P,N/A,SPY 04/30/2027 646.79 P,N/A,,SPY-P646.79-20270430,65.0,NC,USD,-124239.12,-2.63,Short,DE,CORP,US,N,2,N,N,N,USER DEFINED,SPY-P646.79-20270430
SPY-P718.66-20270430,SPY 04/30/2027 718.66 P,N/A,SPY 04/30/2027 718.66 P,N/A,,SPY-P718.66-20270430,65.0,NC,USD,219550.13,4.64,Long,DE,CORP,US,N,2,N,N,N,USER DEFINED,SPY-P718.66-20270430
912828ZN3,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.5% 04/30/2027,912828ZN3,US912828ZN34,,888000.00000000,PA,USD,862008.26,18.23,Long,DBT,UST,US,N,2,N,N,N,,
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,39572.97000000,NS,USD,39572.97,0.84,Long,STIV,RF,US,N,1,N,N,N,,
