holdingId,derivCat,counterpartyName,counterpartyLei,unrealizedAppr,putOrCall,writtenOrPur,shareNo,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier
SPY-C144.74-20270430,OPT,The Options Clearing Corporation,549300CII6SLYGKNHA04,35072.73,Call,Purchased,N/A,144.74,USD,2027-04-30,N/A,indexBasket,S&P 500 Index,SPX
SPY-C770.75-20270430,OPT,The Options Clearing Corporation,549300CII6SLYGKNHA04,20503.71,Call,Written,N/A,770.75,USD,2027-04-30,N/A,indexBasket,S&P 500 Index,SPX
SPY-P723.71-20270430,OPT,The Options Clearing Corporation,549300CII6SLYGKNHA04,-27265.33,Put,Purchased,N/A,723.71,USD,2027-04-30,N/A,indexBasket,S&P 500 Index,SPX
