holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund,otherDesc,otherValue
IWM-C56.52-20270430,IWM 04/30/2027 56.52 C,N/A,IWM 04/30/2027 56.52 C,N/A,,IWM-C56.52-20270430,163.0,NC,USD,3921842.18,82.47,Long,DE,CORP,US,N,2,N,N,N,USER DEFINED,IWM-C56.52-20270430
IWM-C333.47-20270430,IWM 04/30/2027 333.47 C,N/A,IWM 04/30/2027 333.47 C,N/A,,IWM-C333.47-20270430,163.0,NC,USD,-222183.95,-4.67,Short,DE,CORP,US,N,2,N,N,N,USER DEFINED,IWM-C333.47-20270430
IWM-P240.21-20270430,IWM 04/30/2027 240.21 P,N/A,IWM 04/30/2027 240.21 P,N/A,,IWM-P240.21-20270430,163.0,NC,USD,-106838.94,-2.25,Short,DE,CORP,US,N,2,N,N,N,USER DEFINED,IWM-P240.21-20270430
IWM-P282.6-20270430,IWM 04/30/2027 282.6 P,N/A,IWM 04/30/2027 282.6 P,N/A,,IWM-P282.6-20270430,163.0,NC,USD,257296.09,5.41,Long,DE,CORP,US,N,2,N,N,N,USER DEFINED,IWM-P282.6-20270430
91282CMY4,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.75% 04/30/2027,91282CMY4,US91282CMY48,,857000.00000000,PA,USD,854928.18,17.98,Long,DBT,UST,US,N,2,N,N,N,,
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,46241.01000000,NS,USD,46241.01,0.97,Long,STIV,RF,US,N,1,N,N,N,,
