holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund,otherDesc,otherValue
SPY-C144.74-20270430,SPY 04/30/2027 144.74 C,N/A,SPY 04/30/2027 144.74 C,N/A,,SPY-C144.74-20270430,64.0,NC,USD,3796543.93,80.98,Long,DE,CORP,US,N,2,N,N,N,USER DEFINED,SPY-C144.74-20270430
SPY-C806.94-20270430,SPY 04/30/2027 806.94 C,N/A,SPY 04/30/2027 806.94 C,N/A,,SPY-C806.94-20270430,64.0,NC,USD,-147350.40,-3.14,Short,DE,CORP,US,N,2,N,N,N,USER DEFINED,SPY-C806.94-20270430
SPY-P470.41-20270430,SPY 04/30/2027 470.41 P,N/A,SPY 04/30/2027 470.41 P,N/A,,SPY-P470.41-20270430,64.0,NC,USD,-30340.79,-0.65,Short,DE,CORP,US,N,2,N,N,N,USER DEFINED,SPY-P470.41-20270430
SPY-P687.52-20270430,SPY 04/30/2027 687.52 P,N/A,SPY 04/30/2027 687.52 P,N/A,,SPY-P687.52-20270430,64.0,NC,USD,168966.39,3.60,Long,DE,CORP,US,N,2,N,N,N,USER DEFINED,SPY-P687.52-20270430
91282CMY4,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.75% 04/30/2027,91282CMY4,US91282CMY48,,852000.00000000,PA,USD,849940.26,18.13,Long,DBT,UST,US,N,2,N,N,N,,
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,46401.33000000,NS,USD,46401.33,0.99,Long,STIV,RF,US,N,1,N,N,N,,
