holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund,otherDesc,otherValue
QQQ-C136.3-20270430,QQQ 04/30/2027 136.3 C,N/A,QQQ 04/30/2027 136.3 C,N/A,,QQQ-C136.3-20270430,67.0,NC,USD,3890997.91,82.19,Long,DE,CORP,US,N,2,N,N,N,USER DEFINED,QQQ-C136.3-20270430
QQQ-C834.84-20270430,QQQ 04/30/2027 834.84 C,N/A,QQQ 04/30/2027 834.84 C,N/A,,QQQ-C834.84-20270430,67.0,NC,USD,-207666.31,-4.39,Short,DE,CORP,US,N,2,N,N,N,USER DEFINED,QQQ-C834.84-20270430
QQQ-P613.35-20270430,QQQ 04/30/2027 613.35 P,N/A,QQQ 04/30/2027 613.35 P,N/A,,QQQ-P613.35-20270430,67.0,NC,USD,-194553.39,-4.11,Short,DE,CORP,US,N,2,N,N,N,USER DEFINED,QQQ-P613.35-20270430
QQQ-P681.5-20270430,QQQ 04/30/2027 681.5 P,N/A,QQQ 04/30/2027 681.5 P,N/A,,QQQ-P681.5-20270430,67.0,NC,USD,318160.29,6.72,Long,DE,CORP,US,N,2,N,N,N,USER DEFINED,QQQ-P681.5-20270430
91282CMY4,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.75% 04/30/2027,91282CMY4,US91282CMY48,,878000.00000000,PA,USD,875877.41,18.50,Long,DBT,UST,US,N,2,N,N,N,,
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,47039.45000000,NS,USD,47039.45,0.99,Long,STIV,RF,US,N,1,N,N,N,,
