holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund,issuerConditionalDesc,otherDesc,otherValue
37954Y673-TRS-07/07/27-L-CLST,N/A,N/A,GLOBAL X U.S. INFRASTRUCTURE DEVELOPMENT ETF-SWAP-CLST-L,N/A,,37954Y673-TRS-07/07/27-L-CLST,1,NC,USD,13238.95,5.07,N/A,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,37954Y673-TRS-07/07/27-L-CLST
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,70000.00000000,NS,USD,70000.00,26.82,Long,STIV,RF,US,N,1,N,N,N,,,
