holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund,issuerConditionalDesc,otherDesc,otherValue
218946663-TRS-07/07/27-L-CLST,N/A,N/A,EUROVEST EUV FUND MASTER FIC FIM-SWAP-CLST-L,N/A,,218946663-TRS-07/07/27-L-CLST,1,NC,USD,46668.61,4.53,Long,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,218946663-TRS-07/07/27-L-CLST
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,134729.97000000,NS,USD,134729.97,13.08,Long,STIV,RF,US,N,1,N,N,N,,,
