holdingId,derivCat,counterpartyName,counterpartyLei,unrealizedAppr,refInstType,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,swapFlag,terminationDt,notionalAmt,swapCurCd,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit
02079K305-TRS-05/31/27-L-CANT,SWP,Cantor Fitzgerald & Co.,5493004J7H4GCPG6OB62,-54651.54,otherRefInst,ALPHABET INC.,ALPHABET INC.,02079K305,US02079K3059,GOOGL,Y,2027-05-31,838709.41,USD,Other,Total return of Alphabet Inc,Floating,USD-SOFR,838709.41,USD,Month,3
023135106-TRS-05/31/27-L-CANT,SWP,Cantor Fitzgerald & Co.,5493004J7H4GCPG6OB62,-33192.09,otherRefInst,"AMAZON.COM, INC.","AMAZON.COM, INC.",023135106,US0231351067,AMZN,Y,2027-05-31,476505.18,USD,Other,Total return of Amazon.com Inc,Floating,USD-SOFR,476505.18,USD,Month,3
037833100-TRS-05/31/27-L-CANT,SWP,Cantor Fitzgerald & Co.,5493004J7H4GCPG6OB62,-2681.45,otherRefInst,APPLE INC.,APPLE INC.,037833100,US0378331005,AAPL,Y,2027-05-31,874550.72,USD,Other,Total return of Apple Inc,Floating,USD-SOFR,874550.72,USD,Month,3
30303M102-TRS-05/31/27-L-CANT,SWP,Cantor Fitzgerald & Co.,5493004J7H4GCPG6OB62,-12970.95,otherRefInst,"META PLATFORMS, INC.","META PLATFORMS, INC.",30303M102,US30303M1027,META,Y,2027-05-31,275488.98,USD,Other,Total return of Meta Platforms Inc,Floating,USD-SOFR,275488.98,USD,Month,3
594918104-TRS-05/31/27-L-CANT,SWP,Cantor Fitzgerald & Co.,5493004J7H4GCPG6OB62,-66723.03,otherRefInst,MICROSOFT CORPORATION,MICROSOFT CORPORATION,594918104,US5949181045,MSFT,Y,2027-05-31,560981.10,USD,Other,Total return of Microsoft Corp,Floating,USD-SOFR,560981.10,USD,Month,3
67066G104-TRS-05/31/27-L-CANT,SWP,Cantor Fitzgerald & Co.,5493004J7H4GCPG6OB62,-32803.25,otherRefInst,NVIDIA CORPORATION,NVIDIA CORPORATION,67066G104,US67066G1040,NVDA,Y,2027-05-31,954006.00,USD,Other,Total return of NVIDIA Corp,Floating,USD-SOFR,954006.00,USD,Month,3
88160R101-TRS-05/31/27-L-CANT,SWP,Cantor Fitzgerald & Co.,5493004J7H4GCPG6OB62,-12189.34,otherRefInst,"TESLA, INC.","TESLA, INC.",88160R101,US88160R1014,TSLA,Y,2027-05-31,259491.23,USD,Other,Total return of Tesla Inc,Floating,USD-SOFR,259491.23,USD,Month,3
