holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund,issuerConditionalDesc,otherDesc,otherValue
65487K100-TRS-12/01/27-L-CANT,N/A,N/A,"NLIGHT, INC.-SWAP-CANT-L",N/A,,65487K100-TRS-12/01/27-L-CANT,1,NC,USD,-19856.08,-8.62,Long,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,65487K100-TRS-12/01/27-L-CANT
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,25420.00000000,NS,USD,25420.00,11.04,Long,STIV,RF,US,N,1,N,N,N,,,
