holdingId,derivCat,counterpartyName,counterpartyLei,unrealizedAppr,putOrCall,writtenOrPur,shareNo,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier
SPY-C151.71-20270528,OPT,The Options Clearing Corporation,549300CII6SLYGKNHA04,-29066.42,Call,Purchased,N/A,151.71,USD,2027-05-28,N/A,indexBasket,S&P 500 Index,SPX
SPY-C819.68-20270528,OPT,The Options Clearing Corporation,549300CII6SLYGKNHA04,19787.62,Call,Written,N/A,819.68,USD,2027-05-28,N/A,indexBasket,S&P 500 Index,SPX
SPY-P758.54-20270528,OPT,The Options Clearing Corporation,549300CII6SLYGKNHA04,6600.69,Put,Purchased,N/A,758.54,USD,2027-05-28,N/A,indexBasket,S&P 500 Index,SPX
