holdingId,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
52532XAH8,2031-02-15,Fixed,2.3,N,N,N
539439AQ2,2028-11-07,Variable,3.574,N,N,N
548661EA1,2031-04-01,Fixed,2.625,N,N,N
55261FAS3,2029-10-30,Variable,7.413,N,N,N
55261FAT1,2032-03-13,Variable,6.082,N,N,N
55336VCA6,2031-02-15,Fixed,4.8,N,N,N
571748BG6,2029-03-15,Fixed,4.375,N,N,N
571903BE2,2030-06-15,Fixed,4.625,N,N,N
57636QAM6,2029-06-01,Fixed,2.95,N,N,N
58933YAX3,2029-03-07,Fixed,3.4,N,N,N
595017BE3,2029-03-15,Fixed,5.05,N,N,N
595620AT2,2029-04-15,Fixed,3.65,N,N,N
606822BM5,2029-07-18,Fixed,3.195,N,N,N
606822DW1,2032-04-21,Variable,4.847,N,N,N
60687YCR8,2031-05-27,Variable,5.739,N,N,N
6174468G7,2030-01-23,Variable,4.431,N,N,N
61744YAP3,2029-01-24,Variable,3.772,N,N,N
62954HBA5,2031-05-11,Fixed,2.5,N,N,N
637432NP6,2028-02-07,Fixed,3.4,N,N,N
639057AK4,2029-09-13,Variable,5.808,N,N,N
65339KBR0,2030-06-01,Fixed,2.25,N,N,N
654106AK9,2030-03-27,Fixed,2.85,N,N,N
665859AU8,2029-05-03,Fixed,3.15,N,N,N
666807BN1,2028-01-15,Fixed,3.25,N,N,N
66989HBF4,2029-03-16,Fixed,4.1,N,N,N
682680CB7,2027-09-24,Fixed,4.25,N,N,N
68389XCE3,2031-03-25,Fixed,2.875,N,N,N
69121KAH7,2029-03-15,Fixed,5.95,N,N,N
693475BX2,2030-05-14,Variable,5.492,N,N,N
693475CD5,2031-05-13,Variable,4.899,N,N,N
694308JM0,2030-07-01,Fixed,4.55,N,N,N
713448GA0,2028-02-07,Fixed,4.45,N,N,N
716973AD4,2030-05-19,Fixed,4.65,N,N,N
717081EW9,2030-04-01,Fixed,2.625,N,N,N
718172DA4,2030-02-15,Fixed,5.125,N,N,N
72348NAA7,2032-05-19,Variable,5.596,N,N,N
742718FH7,2030-03-25,Fixed,3,N,N,N
74340XBM2,2030-04-15,Fixed,2.25,N,N,N
74949LAC6,2029-03-18,Fixed,4,N,N,N
756109BR4,2030-03-15,Fixed,4.85,N,N,N
75886FAE7,2030-09-15,Fixed,1.75,N,N,N
76720AAS5,2030-03-14,Fixed,4.875,N,N,N
775109DE8,2029-02-15,Fixed,5,N,N,N
776743AF3,2028-09-15,Fixed,4.2,N,N,N
78017DAC2,2031-02-04,Variable,5.153,N,N,N
78017DAN8,2028-11-03,Variable,3.995,N,N,N
785592AX4,2030-05-15,Fixed,4.5,N,N,N
79466LAQ7,2028-03-15,Fixed,4.5,N,N,N
79466LAR5,2029-03-15,Fixed,4.65,N,N,N
80282KBF2,2029-03-09,Variable,6.499,N,N,N
808513CJ2,2029-11-17,Variable,6.196,N,N,N
816851BG3,2028-02-01,Fixed,3.4,N,N,N
824348BJ4,2029-08-15,Fixed,2.95,N,N,N
828807DF1,2029-09-13,Fixed,2.45,N,N,N
83444MAP6,2029-03-01,Fixed,5.4,N,N,N
842400JC8,2029-06-01,Fixed,5.15,N,N,N
852060AD4,2028-11-15,Fixed,6.875,N,N,N
855244AZ2,2030-11-15,Fixed,2.55,N,N,N
857477CU5,2028-02-28,Fixed,4.536,N,N,N
86562MCG3,2028-09-17,Fixed,1.902,N,N,N
86562MED8,2032-01-15,Variable,4.494,N,N,N
87264ABF1,2030-04-15,Fixed,3.875,N,N,N
873923AC0,2029-03-24,Fixed,4.5,N,N,N
87612EBH8,2029-04-15,Fixed,3.375,N,N,N
87612GAE1,2029-03-01,Fixed,6.15,N,N,N
879360AD7,2028-04-01,Fixed,2.25,N,N,N
879385AD4,2030-09-15,Fixed,8.25,N,N,N
882508BG8,2029-09-04,Fixed,2.25,N,N,N
88339WAB2,2029-03-15,Fixed,4.9,N,N,N
89115KAB6,2030-06-03,Fixed,4.808,N,N,N
89153VAT6,2030-01-10,Fixed,2.829,N,N,N
89236TLL7,2029-01-05,Fixed,4.65,N,N,N
89352HAW9,2028-05-15,Fixed,4.25,N,N,N
89788MAQ5,2029-10-30,Variable,7.161,N,N,N
89788MAU6,2031-05-20,Variable,5.071,N,N,N
904764BC0,2028-03-22,Fixed,3.5,N,N,N
91159HJK7,2029-02-01,Variable,4.653,N,N,N
91159HJV3,2031-05-15,Variable,5.083,N,N,N
913017CY3,2028-11-16,Fixed,4.125,N,N,N
91324PEQ1,2030-02-15,Fixed,5.3,N,N,N
92277GAM9,2028-03-01,Fixed,4,N,N,N
92343VGJ7,2031-03-21,Fixed,2.55,N,N,N
92826CAM4,2030-04-15,Fixed,2.05,N,N,N
92840VBA9,2031-04-30,Fixed,5,N,N,N
94106LCB3,2028-03-15,Fixed,4.5,N,N,N
95000U3W1,2031-04-23,Variable,5.15,N,N,N
961214EF6,2034-07-24,Variable,4.11,N,N,N
961214EW9,2028-11-20,Fixed,1.953,N,N,N
980236AT0,2030-05-19,Fixed,5.4,N,N,N
