holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund,otherDesc,otherValue
EFA-C20.89-20270528,EFA 05/28/2027 20.89 C,N/A,EFA 05/28/2027 20.89 C,N/A,,EFA-C20.89-20270528,96.0,NC,USD,775441.74,78.91,Long,DE,CORP,US,N,2,N,N,N,USER DEFINED,EFA-C20.89-20270528
EFA-C120.89-20270528,EFA 05/28/2027 120.89 C,N/A,EFA 05/28/2027 120.89 C,N/A,,EFA-C120.89-20270528,96.0,NC,USD,-12565.31,-1.28,Short,DE,CORP,US,N,2,N,N,N,USER DEFINED,EFA-C120.89-20270528
EFA-P88.77-20270528,EFA 05/28/2027 88.77 P,N/A,EFA 05/28/2027 88.77 P,N/A,,EFA-P88.77-20270528,96.0,NC,USD,-24731.22,-2.52,Short,DE,CORP,US,N,2,N,N,N,USER DEFINED,EFA-P88.77-20270528
EFA-P104.44-20270528,EFA 05/28/2027 104.44 P,N/A,EFA 05/28/2027 104.44 P,N/A,,EFA-P104.44-20270528,96.0,NC,USD,65188.10,6.63,Long,DE,CORP,US,N,2,N,N,N,USER DEFINED,EFA-P104.44-20270528
912828ZS2,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.5% 05/31/2027,912828ZS2,US912828ZS21,,178000.00000000,PA,USD,172225.49,17.53,Long,DBT,UST,US,N,2,N,N,N,,
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,7164.99000000,NS,USD,7164.99,0.73,Long,STIV,RF,US,N,1,N,N,N,,
