holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund,issuerConditionalDesc,otherDesc,otherValue
00108J109-TRS-07/26/27-L-MREX,N/A,N/A,"ACM RESEARCH, INC.-SWAP-MREX-L",N/A,,00108J109-TRS-07/26/27-L-MREX,1,NC,USD,12399.29,4.72,N/A,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,00108J109-TRS-07/26/27-L-MREX
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,250250.00000000,NS,USD,250250.00,95.31,Long,STIV,RF,US,N,1,N,N,N,,,
