holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund,otherDesc,otherValue
SPY-C151.71-20270528,SPY 05/28/2027 151.71 C,N/A,SPY 05/28/2027 151.71 C,N/A,,SPY-C151.71-20270528,18.0,NC,USD,1057881.99,77.65,Long,DE,CORP,US,N,2,N,N,N,USER DEFINED,SPY-C151.71-20270528
SPY-C863.9-20270528,SPY 05/28/2027 863.9 C,N/A,SPY 05/28/2027 863.9 C,N/A,,SPY-C863.9-20270528,18.0,NC,USD,-18358.47,-1.35,Short,DE,CORP,US,N,2,N,N,N,USER DEFINED,SPY-C863.9-20270528
SPY-P644.76-20270528,SPY 05/28/2027 644.76 P,N/A,SPY 05/28/2027 644.76 P,N/A,,SPY-P644.76-20270528,18.0,NC,USD,-36110.67,-2.65,Short,DE,CORP,US,N,2,N,N,N,USER DEFINED,SPY-P644.76-20270528
SPY-P758.54-20270528,SPY 05/28/2027 758.54 P,N/A,SPY 05/28/2027 758.54 P,N/A,,SPY-P758.54-20270528,18.0,NC,USD,86069.10,6.32,Long,DE,CORP,US,N,2,N,N,N,USER DEFINED,SPY-P758.54-20270528
912828ZS2,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.5% 05/31/2027,912828ZS2,US912828ZS21,,259000.00000000,PA,USD,250597.77,18.39,Long,DBT,UST,US,N,2,N,N,N,,
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,22200.76000000,NS,USD,22200.76,1.63,Long,STIV,RF,US,N,1,N,N,N,,
