holdingId,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
60832QAA8,2030-04-15,Fixed,8.25,N,N,N
60855RAJ9,2028-06-15,Fixed,4.375,N,N,N
62482BAB8,2029-10-01,Fixed,5.25,N,N,N
626738AE8,2029-09-15,Fixed,4.75,N,N,N
62844JAE8,2029-02-19,Fixed,15,N,N,N
62886HBY6,2031-01-15,Fixed,5.875,N,N,N
629377CH3,2029-06-15,Fixed,5.25,N,N,N
63938CAM0,2029-03-15,Fixed,5.5,N,N,N
640695AC6,2031-05-15,Fixed,10.375,N,N,N
645370AG2,2030-11-01,Fixed,8.5,N,N,N
651229BG0,2028-06-01,Fixed,8.5,N,N,N
65336YAN3,2028-11-01,Fixed,4.75,N,N,N
65342QAM4,2029-01-15,Fixed,7.25,N,N,N
654744AC5,2027-09-17,Fixed,4.345,N,N,N
668771AK4,2027-09-30,Fixed,6.75,N,N,N
670001AE6,2030-01-30,Fixed,4.75,N,N,N
674215AQ1,2030-10-01,Fixed,6,N,N,N
67740QAH9,2030-01-24,Fixed,6.800000000000002,N,N,N
68245XAM1,2030-10-15,Fixed,4,N,N,N
683720AA4,2030-02-15,Fixed,4.125,N,N,N
69331CAH1,2028-07-01,Fixed,5,N,N,N
69354NAE6,2028-02-01,Fixed,8.375,N,N,N
69393LAA1,2031-05-01,Fixed,6.5,N,N,N
70082LAC1,2031-03-15,Fixed,8,N,N,N
703343AD5,2029-05-01,Fixed,4.75,N,N,N
70452AAA1,2029-06-15,Fixed,4,N,N,N
707569AY5,2031-04-01,Fixed,6.75,N,N,N
72815LAA5,2029-03-15,Fixed,4.25,N,N,N
740212AM7,2029-01-15,Fixed,6.875,N,N,N
74112BAM7,2031-04-01,Fixed,3.75,N,N,N
74165HAC2,2029-09-01,Fixed,9.375,N,N,N
74841CAB7,2031-03-01,Fixed,3.875,N,N,N
75102WAK4,2029-04-15,Fixed,9.75,N,N,N
753272AA1,2030-02-15,Fixed,8.5,N,N,N
775109DG3,2055-04-15,Variable,7,N,N,N
78410GAD6,2027-02-15,Fixed,3.875,N,N,N
78412FAX2,2030-09-30,Fixed,7.875,N,N,N
78454LAP5,2027-01-15,Fixed,6.625,N,N,N
78488XAA2,2031-03-01,Fixed,5.875,N,N,N
78573XAA8,2029-06-15,Fixed,11.125,N,N,N
808625AA5,2028-04-01,Fixed,4.875,N,N,N
80874YBE9,2029-11-15,Fixed,7.25,N,N,N
81721MAM1,2028-02-15,Fixed,4.75,N,N,N
81761LAF9,2027-09-30,None,0,N,N,N
82967NBA5,2027-08-01,Fixed,5,N,N,N
83001AAD4,2031-05-15,Fixed,7.25,N,N,N
83419YAA4,2031-05-15,Fixed,6.375,N,N,N
835898AJ6,2031-04-15,Fixed,8.25,N,N,N
84779MAA2,2027-11-01,Fixed,4.875,N,N,N
85172FAR0,2029-11-15,Fixed,5.375,N,N,N
852234AT0,2030-08-15,Fixed,5.625,N,N,N
85236FAA1,2028-11-01,Fixed,6,N,N,N
853496AG2,2030-07-15,Fixed,4.375,N,N,N
85571BBB0,2029-04-01,Fixed,7.25,N,N,N
86177CAA7,2030-12-15,Fixed,8.125,N,N,N
86184WAA4,2029-05-15,Fixed,8.5,N,N,N
861896AA6,2031-03-01,Fixed,7.875,N,N,N
86614JAA3,2029-10-31,Fixed,8.625,N,N,N
86765KAA7,2028-09-15,Fixed,7,N,N,N
87165BAP8,2029-03-19,Fixed,5.15,N,N,N
87256YAG8,2031-02-15,Fixed,12,N,N,N
87265HAF6,2027-06-01,Fixed,5.25,N,N,N
87422VAQ1,2031-05-01,Fixed,6.125,N,N,N
88023UAH4,2029-04-15,Fixed,4,N,N,N
88033GDK3,2028-10-01,Fixed,6.125,N,N,N
880349AU9,2028-11-17,Fixed,8,N,N,N
88642RAE9,2030-07-15,Fixed,9.125,N,N,N
893647BU0,2029-03-01,Fixed,6.375,N,N,N
893830BY4,2029-05-15,Fixed,8.25,N,N,N
902104AC2,2029-12-15,Fixed,5,N,N,N
90279XAA0,2031-02-01,Fixed,6.875,N,N,N
910047AM1,2029-03-01,Fixed,4.875,N,N,N
914906AX0,2030-06-30,Fixed,7.375,N,N,N
918204BC1,2030-04-23,Fixed,2.95,N,N,N
91911XAW4,2027-01-31,Fixed,8.5,N,N,N
922966AE6,2030-12-15,Fixed,6.125,N,N,N
92769VAJ8,2030-07-15,Fixed,5,N,N,N
92840JAB5,2030-02-01,Fixed,6.375,N,N,N
92874BAA3,2030-11-01,Fixed,7.375,N,N,N
982911AA7,2030-10-15,Fixed,7.75,N,N,N
983133AC3,2031-02-15,Fixed,7.125,N,N,N
