check,fund,source_a,value_a,source_b,value_b,diff,flag
flow:mon3Redemption,AMDC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,APPC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,APPC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,APPC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Redemption,APPC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,APPC,TB@20260624,250000.00,AP_orders,0.00,250000.00,REVIEW
flow:mon3Redemption,APPC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,ASMX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,ASMX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,ASMX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Redemption,ASMX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,ASMX,TB@20260624,250000.00,AP_orders,0.00,250000.00,REVIEW
flow:mon3Redemption,ASMX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,ASMZ,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,ASMZ,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,ASMZ,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Redemption,ASMZ,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,ASMZ,TB@20260624,250000.00,AP_orders,0.00,250000.00,REVIEW
flow:mon3Redemption,ASMZ,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,ASTT,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,ASTT,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,ASTT,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Redemption,ASTT,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,ASTT,TB@20260624,250000.00,AP_orders,0.00,250000.00,REVIEW
flow:mon3Redemption,ASTT,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,AV,TB@20260624,125000.00,AP_orders,0.00,125000.00,REVIEW
flow:mon1Redemption,AV,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,AV,TB@20260624,1174519.00,AP_orders,1299519.00,-125000.00,REVIEW
flow:mon2Redemption,AV,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,AV,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Redemption,AV,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,AVGC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,AVGC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,AVGC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Redemption,AVGC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,AVGC,TB@20260624,250000.00,AP_orders,0.00,250000.00,REVIEW
flow:mon3Redemption,AVGC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,BAY,TB@20260624,125000.00,AP_orders,0.00,125000.00,REVIEW
flow:mon1Redemption,BAY,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,BAY,TB@20260624,1722615.00,AP_orders,1847615.00,-125000.00,REVIEW
flow:mon2Redemption,BAY,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,BAY,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Redemption,BAY,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,BESX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,BESX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,BESX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Redemption,BESX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,BESX,TB@20260624,250000.00,AP_orders,0.00,250000.00,REVIEW
flow:mon3Redemption,BESX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,BLCK,TB@20260624,125000.00,AP_orders,0.00,125000.00,REVIEW
flow:mon1Redemption,BLCK,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,BLCK,TB@20260624,1264791.00,AP_orders,1389791.00,-125000.00,REVIEW
flow:mon2Redemption,BLCK,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,BLCK,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Redemption,BLCK,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,BREW,TB@20260624,250000.00,AP_orders,0.00,250000.00,REVIEW
flow:mon1Redemption,BREW,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,BREW,TB@20260624,1280895.00,AP_orders,1530895.00,-250000.00,REVIEW
flow:mon2Redemption,BREW,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,BREW,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Redemption,BREW,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,BRZX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,BRZX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,BRZX,TB@20260624,250000.00,AP_orders,0.00,250000.00,REVIEW
flow:mon2Redemption,BRZX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,BRZX,TB@20260624,331204.50,AP_orders,581204.50,-250000.00,REVIEW
flow:mon3Redemption,BRZX,TB@20260624,0.00,AP_orders,229915.00,-229915.00,REVIEW
flow:mon1Sales,BZZ,TB@20260624,125000.00,AP_orders,0.00,125000.00,REVIEW
flow:mon1Redemption,BZZ,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,BZZ,TB@20260624,1513663.50,AP_orders,3103078.50,-1589415.00,REVIEW
flow:mon2Redemption,BZZ,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,BZZ,TB@20260624,3211081.00,AP_orders,1746666.00,1464415.00,REVIEW
flow:mon3Redemption,BZZ,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,CAMC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,CAMC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,CAMC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Redemption,CAMC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,CAMC,TB@20260624,250000.00,AP_orders,250000.00,0.00,
flow:mon3Redemption,CAMC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,CARX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,CARX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,CARX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Redemption,CARX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,CARX,TB@20260624,250000.00,AP_orders,250000.00,0.00,
flow:mon3Redemption,CARX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,CBIL,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,CBIL,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,CBIL,TB@20260624,250000.00,AP_orders,0.00,250000.00,REVIEW
flow:mon2Redemption,CBIL,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,CBIL,TB@20260624,16759188.00,AP_orders,17009188.00,-250000.00,
flow:mon3Redemption,CBIL,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,CBOT,TB@20260624,125000.00,AP_orders,0.00,125000.00,REVIEW
flow:mon1Redemption,CBOT,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,CBOT,TB@20260624,2404682.00,AP_orders,2529682.00,-125000.00,
flow:mon2Redemption,CBOT,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,CBOT,TB@20260624,1370925.00,AP_orders,1370925.00,0.00,
flow:mon3Redemption,CBOT,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,CCPX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,CCPX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,CCPX,TB@20260624,250000.00,AP_orders,0.00,250000.00,REVIEW
flow:mon2Redemption,CCPX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,CCPX,TB@20260624,1252423.00,AP_orders,1502423.00,-250000.00,REVIEW
flow:mon3Redemption,CCPX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,CGOV,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,CGOV,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,CGOV,TB@20260624,250000.00,AP_orders,0.00,250000.00,REVIEW
flow:mon2Redemption,CGOV,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,CGOV,TB@20260624,17262385.00,AP_orders,17512385.00,-250000.00,
flow:mon3Redemption,CGOV,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,CHYG,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,CHYG,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,CHYG,TB@20260624,250000.00,AP_orders,0.00,250000.00,REVIEW
flow:mon2Redemption,CHYG,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,CHYG,TB@20260624,5246632.00,AP_orders,5496632.00,-250000.00,
flow:mon3Redemption,CHYG,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,CIEI,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,CIEI,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,CIEI,TB@20260624,250000.00,AP_orders,0.00,250000.00,REVIEW
flow:mon2Redemption,CIEI,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,CIEI,TB@20260624,2003220.00,AP_orders,2253220.00,-250000.00,REVIEW
flow:mon3Redemption,CIEI,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,CIVG,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,CIVG,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,CIVG,TB@20260624,250000.00,AP_orders,0.00,250000.00,REVIEW
flow:mon2Redemption,CIVG,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,CIVG,TB@20260624,4003878.00,AP_orders,4253878.00,-250000.00,REVIEW
flow:mon3Redemption,CIVG,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,CJUN,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,CJUN,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,CJUN,TB@20260624,250000.00,AP_orders,0.00,250000.00,REVIEW
flow:mon2Redemption,CJUN,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,CJUN,TB@20260624,1126042.50,AP_orders,1376042.50,-250000.00,REVIEW
flow:mon3Redemption,CJUN,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,CMAG,TB@20260624,125000.00,AP_orders,0.00,125000.00,REVIEW
flow:mon1Redemption,CMAG,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,CMAG,TB@20260624,2169757.00,AP_orders,2294757.00,-125000.00,REVIEW
flow:mon2Redemption,CMAG,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,CMAG,TB@20260624,6815911.00,AP_orders,6815911.00,0.00,
flow:mon3Redemption,CMAG,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,CMAY,TB@20260624,25.00,AP_orders,1000000.00,-999975.00,REVIEW
flow:mon1Redemption,CMAY,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,CMAY,TB@20260624,5273690.00,AP_orders,4273715.00,999975.00,REVIEW
flow:mon2Redemption,CMAY,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,CMAY,TB@20260624,256324.00,AP_orders,256324.00,0.00,
flow:mon3Redemption,CMAY,TB@20260624,642990.00,AP_orders,642990.00,0.00,
flow:mon1Sales,COIX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,COIX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,COIX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Redemption,COIX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,COIX,TB@20260624,250000.00,AP_orders,0.00,250000.00,REVIEW
flow:mon3Redemption,COIX,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,CQTM,TB@20260624,125000.00,AP_orders,0.00,125000.00,REVIEW
flow:mon1Redemption,CQTM,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,CQTM,TB@20260624,7759070.00,AP_orders,7884070.00,-125000.00,
flow:mon2Redemption,CQTM,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,CQTM,TB@20260624,7630580.00,AP_orders,7630580.00,0.00,
flow:mon3Redemption,CQTM,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,CRUC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,CRUC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,CRUC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Redemption,CRUC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,CRUC,TB@20260624,250000.00,AP_orders,250000.00,0.00,
flow:mon3Redemption,CRUC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,CTJN,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,CTJN,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,CTJN,TB@20260624,250000.00,AP_orders,0.00,250000.00,REVIEW
flow:mon2Redemption,CTJN,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,CTJN,TB@20260624,750000.00,AP_orders,1000000.00,-250000.00,REVIEW
flow:mon3Redemption,CTJN,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,CTMA,TB@20260624,125000.00,AP_orders,0.00,125000.00,REVIEW
flow:mon1Redemption,CTMA,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,CTMA,TB@20260624,5031498.50,AP_orders,5156498.50,-125000.00,
flow:mon2Redemption,CTMA,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,CTMA,TB@20260624,127986.50,AP_orders,127986.50,0.00,
flow:mon3Redemption,CTMA,TB@20260624,639952.50,AP_orders,639952.50,0.00,
flow:mon1Sales,CUST,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,CUST,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,CUST,TB@20260624,250000.00,AP_orders,0.00,250000.00,REVIEW
flow:mon2Redemption,CUST,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,CUST,TB@20260624,7258946.00,AP_orders,7508946.00,-250000.00,
flow:mon3Redemption,CUST,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,DELC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,DELC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,DELC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Redemption,DELC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,DELC,TB@20260624,250000.00,AP_orders,0.00,250000.00,REVIEW
flow:mon3Redemption,DELC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,DIPR,TB@20260624,125000.00,AP_orders,0.00,125000.00,REVIEW
flow:mon1Redemption,DIPR,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,DIPR,TB@20260624,2497345.00,AP_orders,3953025.00,-1455680.00,REVIEW
flow:mon2Redemption,DIPR,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon3Sales,DIPR,TB@20260624,1330680.00,AP_orders,0.00,1330680.00,REVIEW
flow:mon3Redemption,DIPR,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Sales,DISC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon1Redemption,DISC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Sales,DISC,TB@20260624,0.00,AP_orders,0.00,0.00,
flow:mon2Redemption,DISC,TB@20260624,0.00,AP_orders,0.00,0.00,
