holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund,issuerConditionalDesc,otherDesc,otherValue
464286772-TRS-07/07/27-L-CLST,N/A,N/A,ISHARES MSCI SOUTH KOREA ETF-SWAP-CLST-L,N/A,,464286772-TRS-07/07/27-L-CLST,1,NC,USD,-32386.85,-8.27,Long,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,464286772-TRS-07/07/27-L-CLST
464286772-TRS-12/01/27-L-CANT,N/A,N/A,ISHARES MSCI SOUTH KOREA ETF-SWAP-CANT-L,N/A,,464286772-TRS-12/01/27-L-CANT,1,NC,USD,9903.94,2.53,Long,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,464286772-TRS-12/01/27-L-CANT
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,109938.91000000,NS,USD,109938.91,28.06,Long,STIV,RF,US,N,1,N,N,N,,,
