holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund,issuerConditionalDesc,otherDesc,otherValue
86333M108-TRS-12/01/27-L-CANT,N/A,N/A,"STRIDE, INC.-SWAP-CANT-L",N/A,,86333M108-TRS-12/01/27-L-CANT,1,NC,USD,10947.52,4.19,N/A,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,86333M108-TRS-12/01/27-L-CANT
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,24722.00000000,NS,USD,24722.00,9.47,Long,STIV,RF,US,N,1,N,N,N,,,
