holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund,otherDesc,otherValue
QQQ-C148.55-20270528,QQQ 05/28/2027 148.55 C,N/A,QQQ 05/28/2027 148.55 C,N/A,,QQQ-C148.55-20270528,16.0,NC,USD,912163.99,74.36,Long,DE,CORP,US,N,2,N,N,N,USER DEFINED,QQQ-C148.55-20270528
QQQ-C880.22-20270528,QQQ 05/28/2027 880.22 C,N/A,QQQ 05/28/2027 880.22 C,N/A,,QQQ-C880.22-20270528,16.0,NC,USD,-37995.29,-3.10,Short,DE,CORP,US,N,2,N,N,N,USER DEFINED,QQQ-C880.22-20270528
QQQ-P631.33-20270528,QQQ 05/28/2027 631.33 P,N/A,QQQ 05/28/2027 631.33 P,N/A,,QQQ-P631.33-20270528,16.0,NC,USD,-55816.39,-4.55,Short,DE,CORP,US,N,2,N,N,N,USER DEFINED,QQQ-P631.33-20270528
QQQ-P742.74-20270528,QQQ 05/28/2027 742.74 P,N/A,QQQ 05/28/2027 742.74 P,N/A,,QQQ-P742.74-20270528,16.0,NC,USD,118067.53,9.63,Long,DE,CORP,US,N,2,N,N,N,USER DEFINED,QQQ-P742.74-20270528
912828ZS2,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.5% 05/31/2027,912828ZS2,US912828ZS21,,190000.00000000,PA,USD,183836.20,14.99,Long,DBT,UST,US,N,2,N,N,N,,
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,106219.79000000,NS,USD,106219.79,8.66,Long,STIV,RF,US,N,1,N,N,N,,
