holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund,issuerConditionalDesc,otherDesc,otherValue
500767363-TRS-07/05/27-L-MREX,N/A,N/A,KRANESHARES ARTIFICIAL INTELLIGENCE AND TECHNOLOGY PUBLIC AND PRIVATE ETF-SWAP-MREX-L,N/A,,500767363-TRS-07/05/27-L-MREX,1,NC,USD,-37177.85,-9.13,N/A,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,500767363-TRS-07/05/27-L-MREX
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,137885.38000000,NS,USD,137885.38,33.87,Long,STIV,RF,US,N,1,N,N,N,,,
